Director_1,movie_count
David Ayer,4
Phil Lord,3
Jaume Collet-Serra,3
Chris Renaud,3
Paul Feig,3
Woody Allen,3
Shawn Levy,3
Robert Schwentke,3
Tim Story,3
Steven Spielberg,3
Nicholas Stoller,3
James Wan,3
Antoine Fuqua,3
Ariel Vromen,2
Zack Snyder,2
Ron Howard,2
Justin Lin,2
Gareth Evans,2
Bryan Singer,2
Steve Martino,2
Sean Anders,2
Barry Sonnenfeld,2
Seth MacFarlane,2
Denis Villeneuve,2
Clint Eastwood,2
Lasse Hallström,2
David O. Russell,2
Brad Furman,2
Timur Bekmambetov,2
Neill Blomkamp,2
Ridley Scott,2
Fede Alvarez,2
William Brent Bell,2
Tim Burton,2
John Madden,2
Angelina Jolie,2
Jeff Nichols,2
James DeMonaco,2
Quentin Tarantino,2
Todd Phillips,2
Nima Nourizadeh,2
Jake Schreier,2
Josh Trank,2
Jonathan Liebesman,2
Francis Lawrence,2
Patricia Riggen,2
Mark Neveldine,2
Dave Green,2
M. Night Shyamalan,2
Tyler Perry,2
Tom Hooper,2
Jay Roach,2
Christopher McQuarrie,2
Roland Emmerich,2
Wes Anderson,2
Jason Moore,2
Kirk Jones,2
Guillermo del Toro,2
Harold Cronk,2
Michael Tiddes,2
Malcolm D. Lee,2
Ben Falcone,2
Danny Boyle,2
Camille Delamarre,2
Andy Fickman,2
Jonathan Levine,2
Michael Bay,2
Tarsem Singh,2
Scott Derrickson,2
Luc Besson,2
Robert Zemeckis,2
Wes Ball,2
David Koepp,2
Frank Coraci,2
John Erick Dowdle,2
Jon M. Chu,2
Daniel Espinosa,2
Gary Ross,2
Paul W. S. Anderson,2
Genndy Tartakovsky,2
Yann Demange,1
John Moore,1
Peter Berg,1
Scott Cooper,1
Matt Reeves,1
Alex Proyas,1
Matthew Vaughn,1
Raman Hui,1
Marc Webb,1
David Yates,1
Ciro Guerra,1
Chris Wedge,1
Brad Peyton,1
Paul Tibbitt,1
Asif Kapadia,1
Pascal Chaumeil,1
Doug Ellin,1
Eric Darnell,1
Chris Columbus,1
Clay Kaytis,1
Bruno Podalydès,1
Sam Miller,1
Billy Ray,1
Ben Affleck,1
Benh Zeitlin,1
Todd Haynes,1
Tom Tykwer,1
Jodie Foster,1
Deniz Gamze Ergüven,1
Grímur Hákonarson,1
Michaël R. Roskam,1
Russell Crowe,1
Cyrus Nowrasteh,1
James Vanderbilt,1
Charles Martin Smith,1
Simon J. Smith,1
Peter Lepeniotis,1
David F. Sandberg,1
Ryuhei Kitamura,1
Cameron Crowe,1
Jessie Nelson,1
Alan Taylor,1
Stephen Chow,1
William Riead,1
Bradley Parker,1
Levan Gabriadze,1
Adam Wingard,1
László Nemes,1
Valérie Donzelli,1
Morgan Spurlock,1
Dan Fogelman,1
Jennifer Westfeldt,1
Diego Luna,1
Gregory Plotkin,1
Ciaran Foy,1
Marcus Dunstan,1
Jason Zada,1
José Padilha,1
Simon West,1
Wally Pfister,1
Carlos Saldanha,1
Ericson Core,1
Mike Thurmeier,1
Raja Gosnell,1
Baz Luhrmann,1
Jon Favreau,1
John Crowley,1
R. J. Cutler,1
Simon Curtis,1
Leigh Whannell,1
Noam Murro,1
Cedric Nicolas-Troyan,1
Joshua Michael Stern,1
Chris Rock,1
Randall Wallace,1
Dean Israelite,1
Paul Greengrass,1
Joseph Kosinski,1
James Mangold,1
Ang Lee,1
Bill Condon,1
Tony Gilroy,1
Len Wiseman,1
Darren Aronofsky,1
David Soren,1
Theodore Melfi,1
Marc Abraham,1
Lenny Abrahamson,1
Josh Boone,1
Stephen Chbosky,1
The Erwin Brothers,1
Brad Anderson,1
Gavin Hood,1
Peyton Reed,1
Jon Chu,1
Chris Sanders,1
Tim Johnson,1
Alejandro G. Iñárritu,1
Josh Schwartz,1
Sarah Gavron,1
Morten Tyldum,1
Ole Bornedal,1
