Cast_1,appearances
Hugh Jackman,3
Matt Damon,3
Tom Cruise,3
Chris Pine,2
Will Smith,2
Leonardo DiCaprio,2
Shailene Woodley,2
Megan Fox,2
Jennifer Lawrence,2
Ryan Reynolds,2
Channing Tatum,2
Alexander Skarsgård,1
Andy Serkis,1
Geoffrey Rush,1
Henry Cavill,1
Andrew Garfield,1
Alexander Skarsgard,1
Melissa McCarthy,1
Adam Sandler,1
Tom Hanks,1
Tom McGrath,1
Arnold Schwarzenegger,1
Bradley Cooper,1
Jesse Eisenberg,1
Edgar Ramirez,1
Ray Romano,1
Neil Patrick Harris,1
Rodrigo Santoro,1
Chris Hemsworth,1
Miles Teller,1
Suraj Sharma,1
Kristen Stewart,1
Jeremy Renner,1
Colin Farrell,1
Russell Crowe,1
Ben Stiller,1
Paul Rudd,1
Jaden Smith,1
Noomi Rapace,1
Nicolas Cage,1
Jim Parsons,1
Jack Black,1
Jay Baruchel,1
Ty Burrell,1
Tom Hardy,1
Sam Worthington,1
Johnny Depp,1
Vin Diesel,1
Aaron Taylor-Johnson,1
Ben Foster,1
Jeff Goldblum,1
Matthew McConaughey,1
Chris Evans,1
Charlize Theron,1
James McAvoy,1
Charlie Hunnam,1
Brad Pitt,1
Ben Affleck,1
Ian McKellen,1
